2020-12-08 12:30:35.405 [http-nio-8005-exec-6] INFO  c.a.n.c.CategoryMngController - Enter function getCats
2020-12-08 12:38:50.362 [http-nio-8005-exec-9] INFO  c.a.n.c.CategoryMngController - Enter function getCats
2020-12-08 14:27:21.352 [http-nio-8005-exec-1] INFO  c.a.n.c.CategoryMngController - Enter function getCats
2020-12-08 14:29:27.098 [http-nio-8005-exec-3] INFO  c.a.n.c.CategoryMngController - Enter function getCats
2020-12-08 14:29:27.121 [http-nio-8005-exec-4] INFO  c.a.n.c.FriendLinkController - Enter function admin/friendLinkMng/portal/list
2020-12-08 14:29:27.124 [http-nio-8005-exec-4] INFO  c.a.news.aspect.ServiceLogAspect - ============ 开始执行 class com.aiolos.news.service.impl.FriendLinkServiceImpl.queryPortalAllFriendLinkList ============
2020-12-08 14:29:27.204 [http-nio-8005-exec-4] INFO  c.a.news.aspect.ServiceLogAspect - 当前执行耗时：79
2020-12-08 14:29:56.194 [http-nio-8005-exec-5] INFO  c.a.n.c.CategoryMngController - Enter function getCats
2020-12-08 14:32:14.674 [http-nio-8005-exec-7] INFO  c.a.n.c.CategoryMngController - Enter function getCats
2020-12-08 14:32:14.676 [http-nio-8005-exec-8] INFO  c.a.n.c.FriendLinkController - Enter function admin/friendLinkMng/portal/list
2020-12-08 14:32:14.679 [http-nio-8005-exec-8] INFO  c.a.news.aspect.ServiceLogAspect - ============ 开始执行 class com.aiolos.news.service.impl.FriendLinkServiceImpl.queryPortalAllFriendLinkList ============
2020-12-08 14:32:14.681 [http-nio-8005-exec-8] INFO  c.a.news.aspect.ServiceLogAspect - 当前执行耗时：2
2020-12-08 14:32:33.381 [http-nio-8005-exec-9] INFO  c.a.n.c.CategoryMngController - Enter function getCats
2020-12-08 14:33:20.647 [http-nio-8005-exec-1] INFO  c.a.n.c.CategoryMngController - Enter function getCats
2020-12-08 14:33:21.207 [http-nio-8005-exec-2] INFO  c.a.n.c.CategoryMngController - Enter function getCats
2020-12-08 14:33:21.210 [http-nio-8005-exec-3] INFO  c.a.n.c.FriendLinkController - Enter function admin/friendLinkMng/portal/list
2020-12-08 14:33:21.210 [http-nio-8005-exec-3] INFO  c.a.news.aspect.ServiceLogAspect - ============ 开始执行 class com.aiolos.news.service.impl.FriendLinkServiceImpl.queryPortalAllFriendLinkList ============
2020-12-08 14:33:21.213 [http-nio-8005-exec-3] INFO  c.a.news.aspect.ServiceLogAspect - 当前执行耗时：2
2020-12-08 14:33:22.316 [http-nio-8005-exec-4] INFO  c.a.n.c.CategoryMngController - Enter function getCats
2020-12-08 14:33:23.409 [http-nio-8005-exec-5] INFO  c.a.n.c.CategoryMngController - Enter function getCats
2020-12-08 14:33:29.849 [http-nio-8005-exec-6] INFO  c.a.n.c.CategoryMngController - Enter function getCats
2020-12-08 14:33:33.174 [http-nio-8005-exec-7] INFO  c.a.n.c.CategoryMngController - Enter function getCats
2020-12-08 14:34:49.733 [http-nio-8005-exec-10] INFO  c.a.n.c.CategoryMngController - Enter function getCats
2020-12-08 17:21:25.918 [http-nio-8005-exec-3] INFO  c.a.n.c.FriendLinkController - Enter function admin/friendLinkMng/portal/list
2020-12-08 17:21:25.918 [http-nio-8005-exec-2] INFO  c.a.n.c.CategoryMngController - Enter function getCats
